time,acceleration,pressure,altitude,height,speed,temperature,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,latitude,longitude,altitude
-0.3,-0.53,83843,1568.95,0.97,0,27.7,10.06,-0.5,0.13,-0.26,-0.17,0.03,0.45,0.13,-0.18,2.16,4.14,40.8857704,-104.637338,1674
-0.29,-0.53,83853,1567.98,0,0,27.7,9.95,-0.45,0.08,-0.01,-0.17,0.03,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.28,-0.53,83854,1567.88,-0.1,0,27.7,9.78,-0.47,0.06,-0.13,-0.1,-0.1,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.27,0,83854,1567.88,-0.1,0,27.7,9.71,-0.36,-0.03,0.05,-0.1,-0.16,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.26,0,83861,1567.21,-0.78,0,27.7,9.62,-0.34,0.06,-0.07,-0.04,-0.28,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.25,0,83857,1567.59,-0.39,0,27.7,9.73,-0.35,-0.01,-0.07,-0.17,-0.28,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.24,0,83854,1567.88,-0.1,0,27.7,9.68,-0.33,0.11,0.23,-0.04,-0.28,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.23,0,83853,1567.98,0,0,27.7,10.01,-0.53,0.29,0.23,-0.04,-0.22,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.22,0,83860,1567.3,-0.68,0,27.7,9.92,-0.49,0.19,0.05,-0.17,-0.1,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.21,0,83860,1567.3,-0.68,0,27.7,9.99,-0.47,0.22,-0.01,-0.04,-0.04,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.2,-0.53,83854,1567.88,-0.1,0,27.7,9.84,-0.45,0.3,-0.01,0.02,0.15,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.19,-0.53,83850,1568.27,0.29,0,27.7,9.79,-0.25,0.03,-0.13,0.08,0.15,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.18,0,83861,1567.21,-0.78,0,27.7,9.7,-0.2,0.03,-0.07,0.26,0.33,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.17,0,83857,1567.59,-0.39,0,27.7,9.72,-0.22,0.04,-0.2,0.2,0.33,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.16,0,83848,1568.47,0.49,0,27.7,9.83,-0.24,0.01,-0.44,0.2,0.27,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.15,0,83844,1568.85,0.87,0,27.7,9.86,-0.27,0.09,-0.2,0.2,0.15,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.14,0,83858,1567.5,-0.49,0,27.7,9.93,-0.34,0.11,0.29,0.14,-0.1,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.13,-0.53,83864,1566.91,-1.07,0,27.7,9.86,-0.31,0.05,0.84,0.14,-0.28,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.12,-0.53,83848,1568.47,0.49,0,27.7,9.67,-0.19,-0.11,0.96,0.02,-0.46,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.11,-0.53,83846,1568.66,0.68,0,27.7,9.83,-0.3,0.04,0.11,0.08,-0.52,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.1,0,83850,1568.27,0.29,0,27.7,9.73,-0.34,-0.21,0.11,0.08,-0.71,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.09,0,83862,1567.11,-0.87,0.01,27.7,9.74,-0.34,-0.06,0.66,0.08,-0.65,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.08,0,83840,1569.24,1.26,0.07,27.7,9.91,-0.45,0.1,1.09,-0.04,-0.4,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.07,0,83847,1568.56,0.58,0.25,27.7,9.97,-0.61,-0.08,0.41,0.02,-0.22,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.06,5.83,83846,1568.66,0.68,0.61,27.7,10.16,-0.61,0.14,-0.26,0.02,-0.04,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.05,113.44,83862,1567.11,-0.87,1.2,27.7,10.83,-0.37,-0.47,-1.72,0.14,0.15,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.04,119.27,84012,1552.57,-15.42,2.05,27.7,115.53,4.13,-2.05,-0.38,-0.29,0.7,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
-0.03,122.98,83872,1566.14,-1.84,3.09,27.7,125.5,-3.44,-1.07,16.71,-4.8,-4.67,0.45,0.13,-0.19,2.16,4.14,40.8857704,-104.637338,1674
