time,acceleration,pressure,altitude,temperature,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,latitude,longitude,altitude
-0.3,0,102156,-68.95,21.7,-9.86,-0.31,0.17,0.06,0.09,-0.08,-0.32,0.18,1.51,2.05,43.1051207,-70.9951685,33
-0.29,0,102177,-70.68,21.7,-9.82,-0.32,0.21,0,0.09,0.04,-0.32,0.18,1.52,2.05,43.1051207,-70.9951685,33
-0.28,0,102148,-68.28,21.7,-9.87,-0.32,0.23,0.06,0.02,0.04,-0.32,0.16,1.53,2.05,43.1051207,-70.9951685,33
-0.27,-0.54,102167,-69.86,21.7,-9.82,-0.25,0.2,0.06,0.21,-0.14,-0.33,0.18,1.53,2.05,43.1051207,-70.9951685,33
-0.26,0,102149,-68.37,21.7,-9.83,-0.3,0.2,-0.06,0.02,-0.08,-0.31,0.18,1.52,2.05,43.1051207,-70.9951685,33
-0.25,0,102171,-70.19,21.7,-9.89,-0.33,0.14,0,-0.04,-0.08,-0.31,0.18,1.54,2.05,43.1051207,-70.9951685,33
-0.24,0,102163,-69.52,21.7,-9.86,-0.33,0.26,0.06,0.09,-0.02,-0.31,0.18,1.54,2.05,43.1051207,-70.9951685,33
-0.23,0,102172,-70.27,21.7,-9.84,-0.29,0.21,0.06,0.15,0.04,-0.31,0.18,1.53,2.05,43.1051207,-70.9951685,33
-0.22,-0.54,102156,-68.95,21.7,-9.84,-0.34,0.18,-0.06,-0.04,-0.02,-0.31,0.17,1.53,2.05,43.1051207,-70.9951685,33
-0.21,0,102166,-69.77,21.7,-9.86,-0.33,0.2,0.06,0.15,-0.08,-0.31,0.18,1.53,2.05,43.1051207,-70.9951685,33
-0.2,0,102157,-69.03,21.7,-9.87,-0.32,0.22,0.06,0.02,-0.02,-0.32,0.18,1.52,2.05,43.1051207,-70.9951685,33
-0.19,-0.54,102170,-70.1,21.7,-9.8,-0.3,0.26,0.13,0.02,-0.08,-0.32,0.18,1.53,2.05,43.1051207,-70.9951685,33
-0.18,-0.54,102163,-69.52,21.7,-9.86,-0.32,0.16,0,-0.1,-0.02,-0.32,0.18,1.52,2.05,43.1051207,-70.9951685,33
-0.17,-0.54,102172,-70.27,21.7,-9.85,-0.28,0.14,0,0.09,-0.02,-0.32,0.18,1.52,2.05,43.1051207,-70.9951685,33
-0.16,0,102162,-69.44,21.7,-9.87,-0.31,0.19,0,0.02,-0.08,-0.3,0.18,1.54,2.05,43.1051207,-70.9951685,33
-0.15,-0.54,102165,-69.69,21.7,-9.86,-0.32,0.24,0.13,0.09,-0.02,-0.3,0.17,1.52,2.05,43.1051207,-70.9951685,33
-0.14,0,102156,-68.95,21.7,-9.87,-0.37,0.29,0.06,0.09,0.04,-0.31,0.17,1.52,2.05,43.1051207,-70.9951685,33
-0.13,-0.54,102176,-70.6,21.7,-9.84,-0.3,0.24,0,-0.04,0.1,-0.31,0.17,1.53,2.05,43.1051207,-70.9951685,33
-0.12,0,102174,-70.43,21.8,-9.85,-0.32,0.14,0.06,0.21,-0.02,-0.32,0.17,1.54,2.05,43.1051207,-70.9951685,33
-0.11,0,102162,-69.44,21.7,-9.84,-0.31,0.18,0.13,0.09,-0.08,-0.32,0.17,1.53,2.05,43.1051207,-70.9951685,33
-0.1,0,102154,-68.78,21.7,-9.87,-0.27,0.23,0,0.09,0.1,-0.31,0.18,1.52,2.05,43.1051207,-70.9951685,33
