time,acceleration,pressure,altitude,height,speed,temperature,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,latitude,longitude,altitude
-0.3,0,98766,215.23,0.17,0,19.2,9.25,0.14,0.34,0.51,-0.05,0.28,0.46,0.09,-0.21,2.76,37.1688225,-97.7338837,381
-0.29,0,98771,214.8,-0.25,0,19.2,9.87,-0.43,0.11,0.02,-0.17,-0.45,0.46,0.09,-0.21,2.76,37.1688225,-97.7338837,381
-0.28,0,98763,215.48,0.42,0,19.2,10.39,0.61,1.19,-0.96,-0.17,0.1,0.46,0.09,-0.21,2.76,37.1688225,-97.7338837,381
-0.27,0,98769,214.97,-0.08,0,19.2,10.27,-1.09,0.36,1.36,-0.48,0.03,0.46,0.09,-0.21,2.76,37.1688225,-97.7338837,381
-0.26,-0.53,98770,214.89,-0.17,0,19.2,9.82,0.79,1.21,-1.94,-0.17,0.28,0.46,0.09,-0.21,2.76,37.1688225,-97.7338837,381
-0.25,0,98778,214.21,-0.85,0,19.2,8.96,-0.27,-0.38,1.91,-0.05,0.46,0.46,0.09,-0.21,2.76,37.1688225,-97.7338837,381
-0.24,0,98767,215.14,0.08,0,19.2,9.63,-0.04,1.5,-2.06,0.01,0.03,0.46,0.09,-0.21,2.76,37.1688225,-97.7338837,381
-0.23,0,98770,214.89,-0.17,0,19.2,10.19,-0.31,0.22,1.24,0.07,0.1,0.46,0.09,-0.22,2.76,37.1688225,-97.7338837,381
-0.22,-0.53,98775,214.46,-0.59,0,19.2,10.44,-0.5,0.96,-0.53,0.19,-0.27,0.46,0.09,-0.21,2.76,37.1688225,-97.7338837,381
-0.21,-0.53,98759,215.82,0.76,0,19.2,9.84,0.5,0.7,0.57,0.19,-0.09,0.46,0.09,-0.21,2.76,37.1688225,-97.7338837,381
-0.2,0,98779,214.12,-0.93,0,19.2,9.4,-0.3,0.23,0.63,0.19,0.03,0.46,0.09,-0.21,2.76,37.1688225,-97.7338837,381
-0.19,2.12,98761,215.65,0.59,0,19.2,9.67,0.42,0.94,-0.9,0.26,0.16,0.46,0.09,-0.21,2.76,37.1688225,-97.7338837,381
-0.18,-1.59,98781,213.95,-1.1,0,19.2,11.67,-0.12,0.63,1.73,0.26,0.28,0.46,0.09,-0.21,2.76,37.1688225,-97.7338837,381
-0.17,0.53,98745,217.01,1.95,0.01,19.2,10.48,0.66,-0.1,-0.35,0.62,-0.58,0.46,0.09,-0.21,2.76,37.1688225,-97.7338837,381
