#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 4357, 3,KB0G,    -0.30, 3,   boost,   -0.54,  97046.00,  362.44,    0.43,    0.00, 21.5, 4.15, 4.17, 4.15,   9.89,  -0.23,  -0.11,   0.10,  -0.09,   0.07,   0.14,   0.28,   0.25,   1.46, 4.14, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  37.1687075, -97.7339931,   384.0, 2019, 11, 10, 15, 54, 53,        0,        0,   0,   0,   1.5,   0.9,   1.1,  0,  0,  0,  0, 41,  0,  0,  0,  0, 22,  0,  0, 39,  0, 41, 29,  0,  0,  0, 33, 38,  0,  0,  0,  0, 31, 38,  0, 38,  0,  0,  0
6, 4357, 3,KB0G,    -0.29, 3,   boost,   -0.54,  97045.00,  362.53,    0.52,    0.00, 21.5, 4.15, 4.17, 4.15,   9.77,  -0.34,  -0.09,  -0.14,  -0.03,   0.01,   0.12,   0.28,   0.25,   1.46, 4.14, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  37.1687075, -97.7339931,   384.0, 2019, 11, 10, 15, 54, 53,        0,        0,   0,   0,   1.5,   0.9,   1.1,  0,  0,  0,  0, 41,  0,  0,  0,  0, 22,  0,  0, 39,  0, 41, 29,  0,  0,  0, 33, 38,  0,  0,  0,  0, 31, 38,  0, 38,  0,  0,  0
6, 4357, 3,KB0G,    -0.28, 3,   boost,   -0.54,  97051.00,  362.01,    0.00,    0.00, 21.5, 4.15, 4.17, 4.15,   9.90,  -0.17,  -0.12,  -0.33,   0.09,   0.19,   0.14,   0.30,   0.24,   1.46, 4.14, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  37.1687075, -97.7339931,   384.0, 2019, 11, 10, 15, 54, 53,        0,        0,   0,   0,   1.5,   0.9,   1.1,  0,  0,  0,  0, 41,  0,  0,  0,  0, 22,  0,  0, 39,  0, 41, 29,  0,  0,  0, 33, 38,  0,  0,  0,  0, 31, 38,  0, 38,  0,  0,  0
6, 4357, 3,KB0G,    -0.27, 3,   boost,   -0.00,  97049.00,  362.18,    0.17,    0.00, 21.5, 4.15, 4.17, 4.15,   9.75,  -0.06,  -0.18,  -0.20,   0.03,   0.25,   0.11,   0.29,   0.25,   1.46, 4.14, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  37.1687075, -97.7339931,   384.0, 2019, 11, 10, 15, 54, 53,        0,        0,   0,   0,   1.5,   0.9,   1.1,  0,  0,  0,  0, 41,  0,  0,  0,  0, 22,  0,  0, 39,  0, 41, 29,  0,  0,  0, 33, 38,  0,  0,  0,  0, 31, 38,  0, 38,  0,  0,  0
6, 4357, 3,KB0G,    -0.26, 3,   boost,   -0.00,  97046.00,  362.44,    0.43,    0.00, 21.5, 4.15, 4.17, 4.15,   9.82,  -0.22,  -0.27,  -0.02,   0.03,   0.25,   0.13,   0.30,   0.25,   1.46, 4.14, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  37.1687075, -97.7339931,   384.0, 2019, 11, 10, 15, 54, 53,        0,        0,   0,   0,   1.5,   0.9,   1.1,  0,  0,  0,  0, 41,  0,  0,  0,  0, 22,  0,  0, 39,  0, 41, 29,  0,  0,  0, 33, 38,  0,  0,  0,  0, 31, 38,  0, 38,  0,  0,  0
6, 4357, 3,KB0G,    -0.25, 3,   boost,   -0.00,  97058.00,  361.41,   -0.60,    0.00, 21.5, 4.15, 4.17, 4.15,   9.79,  -0.02,  -0.22,  -0.20,  -0.03,   0.07,   0.13,   0.28,   0.25,   1.46, 4.14, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  37.1687075, -97.7339931,   384.0, 2019, 11, 10, 15, 54, 53,        0,        0,   0,   0,   1.5,   0.9,   1.1,  0,  0,  0,  0, 41,  0,  0,  0,  0, 22,  0,  0, 39,  0, 41, 29,  0,  0,  0, 33, 38,  0,  0,  0,  0, 31, 38,  0, 38,  0,  0,  0
6, 4357, 3,KB0G,    -0.24, 3,   boost,   -0.00,  97047.00,  362.36,    0.34,    0.00, 21.5, 4.15, 4.17, 4.15,   9.91,  -0.10,  -0.18,  -0.08,   0.09,  -0.05,   0.13,   0.29,   0.26,   1.46, 4.14, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  37.1687075, -97.7339931,   384.0, 2019, 11, 10, 15, 54, 53,        0,        0,   0,   0,   1.5,   0.9,   1.1,  0,  0,  0,  0, 41,  0,  0,  0,  0, 22,  0,  0, 39,  0, 41, 29,  0,  0,  0, 33, 38,  0,  0,  0,  0, 31, 38,  0, 38,  0,  0,  0
6, 4357, 3,KB0G,    -0.23, 3,   boost,   -0.00,  97058.00,  361.41,   -0.60,    0.00, 21.5, 4.15, 4.17, 4.15,   9.74,  -0.23,  -0.20,  -0.14,  -0.09,  -0.05,   0.11,   0.29,   0.24,   1.46, 4.14, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  37.1687075, -97.7339931,   384.0, 2019, 11, 10, 15, 54, 53,        0,        0,   0,   0,   1.5,   0.9,   1.1,  0,  0,  0,  0, 41,  0,  0,  0,  0, 22,  0,  0, 39,  0, 41, 29,  0,  0,  0, 33, 38,  0,  0,  0,  0, 31, 38,  0, 38,  0,  0,  0
6, 4357, 3,KB0G,    -0.22, 3,   boost,   -0.54,  97056.00,  361.58,   -0.43,    0.00, 21.5, 4.15, 4.17, 4.15,   9.75,  -0.20,  -0.15,  -0.14,   0.09,  -0.11,   0.12,   0.29,   0.25,   1.46, 4.14, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  37.1687075, -97.7339931,   384.0, 2019, 11, 10, 15, 54, 53,        0,        0,   0,   0,   1.5,   0.9,   1.1,  0,  0,  0,  0, 41,  0,  0,  0,  0, 22,  0,  0, 39,  0, 41, 29,  0,  0,  0, 33, 38,  0,  0,  0,  0, 31, 38,  0, 38,  0,  0,  0
6, 4357, 3,KB0G,    -0.21, 3,   boost,   -0.54,  97044.00,  362.62,    0.60,    0.00, 21.5, 4.15, 4.17, 4.15,   9.92,  -0.08,  -0.06,   0.04,  -0.03,  -0.11,   0.12,   0.29,   0.25,   1.46, 4.14, 0.00, 0.00, 0.00, 0.00, 1, 1, 11,  37.1687075, -97.7339931,   384.0, 2019, 11, 10, 15, 54, 53,        0,        0,   0,   0,   1.5,   0.9,   1.1,  0,  0,  0,  0, 41,  0,  0,  0,  0, 22,  0,  0, 39,  0, 41, 29,  0,  0,  0, 33, 38,  0,  0,  0,  0, 31, 38,  0, 38,  0,  0,  0
